epoch,average_reward,final_reward
395,-6.892512543847848,-10000
396,-5.601607156370194,10000
397,-7.509411565714009,-10000
398,-7.260165362567379,10000
399,-1.6313090863029691,-10000
400,-7.763298144014362,-10000
401,-7.670803055713736,10000
402,-5.590668490486474,10000
403,-7.450728830595326,10000
404,-7.324369308839879,10000
405,-7.984941816079075,10000
406,-6.181335845727267,10000
407,-7.63744580562801,10000
408,-3.2245966371892125,10000
409,-7.457077037546521,10000
410,-5.556093194843975,-10000
411,-7.483558995742502,-10000
412,-7.110754955864745,0
413,-7.408785422056035,-10000
414,-6.117365634673002,10000
415,-6.437212027914445,10000
416,-7.129620051825768,10000
417,-6.309952510951337,-10000
418,-7.253582971136145,10000
419,-7.263551145045563,10000
420,-6.02134736863454,10000
421,-5.426063605930446,-10000
422,-5.493473371757,10000
423,-7.125358077646937,-10000
424,-6.78544965715142,10000
425,-4.812949391134175,10000
426,-3.9277066590661263,-10000
427,-5.780612184611133,10000
428,-7.099022868717019,10000
429,-7.1442459076009674,10000
430,-8.148803054910227,10000
431,-6.959988012783621,-10000
432,-7.45909685184071,-10000
433,-7.868548996496571,10000
434,-7.550432546892594,10000
435,-7.8349636463720795,-10000
436,-5.693509852298586,10000
437,-6.145674687878728,10000
438,-6.149482415760163,10000
439,-5.611483238702796,10000
440,-7.285089954455725,-10000
441,-5.399038800355481,-10000
442,-6.635734811838242,0
443,-7.020818641675008,10000
444,-7.050860143157062,10000
445,-6.840580968350723,-10000
446,-4.6482124597207495,-10000
447,-4.909459765013071,-10000
448,-6.611326502925117,10000
449,-7.7430482779392795,-10000
450,-5.796117376149686,10000
451,-3.757923857336133,-10000
452,-5.676906734745617,-10000
453,-6.769597953681844,10000
454,-7.9730752156227815,-10000
455,-7.0743053747416,10000
456,-7.617200006092549,0
457,-7.244599700245508,10000
458,-6.370161188955599,10000
459,-4.543937739841567,10000
460,-7.739891990009889,10000
461,-7.6887375804412095,-10000
462,-7.046375104635629,-10000
463,-6.120490357006675,10000
464,-3.7014103161240945,10000
465,-3.842934156211373,-10000
466,-5.678867128632161,-10000
467,-2.7992512924137674,-10000
468,-5.362961873447512,10000
469,-7.654030395637143,10000
470,-4.564178841796937,10000
471,-5.419729865603569,0
472,-6.685991378206531,0
473,-7.867359852315251,-10000
474,-7.053776875515734,10000
475,-7.391296343865738,10000
476,-7.4970753948341,10000
477,-7.796195070864471,10000
478,-7.211535781940236,10000
479,-4.352329011557461,10000
480,-7.761911234584144,10000
481,-5.770400884375592,10000
482,-7.706640177879432,-10000
483,-7.596428191635671,10000
484,-6.048313280021201,10000
485,-7.9931917237463725,-10000
486,-4.461446545695477,-10000
487,-7.175581122062522,10000
488,-4.830111349091578,10000
489,-6.966856908358417,10000
490,-2.721165729909311,10000
491,-6.0220638761256025,-10000
492,-6.975264340660614,10000
493,-7.373623675725021,-10000
494,-6.864754952149807,10000
495,-6.144179825611221,10000
496,-7.560213619149019,-10000
497,-7.516132235891147,10000
498,-7.779382222975414,10000
499,-3.4387801265512508,10000
500,-7.48439628363204,-10000
501,-6.880145693626935,10000
502,-7.320711612423565,-10000
503,-7.767688334653727,0
504,-7.480675166018545,10000
505,-7.334869741551128,-10000
506,-7.112570955393516,10000
507,-5.417593804885678,10000
508,-7.659546522532103,10000
509,-7.055207093022112,10000
510,-6.5754162718346505,10000
511,-4.738546574451711,-10000
512,-5.434604246599095,-10000
513,-8.21177813719864,-10000
514,-7.186968561413256,-10000
515,-7.550610307159759,10000
516,-7.295293484176138,10000
517,-3.623213771756981,10000
518,-7.9992367881327535,10000
519,-6.666253617971063,10000
520,-2.6864038692938266,-10000
521,-7.856153653966235,10000
522,-5.388753523757396,10000
523,-7.011924707845436,-10000
524,-7.483552534487583,-10000
525,-7.624040605332546,-10000
526,-7.113413724032778,0
527,-6.817945875997214,-10000
528,-8.311203239465529,-10000
529,-5.891905997709252,-10000
530,-5.354561548145284,-10000
531,-7.443593268736407,10000
532,-3.4668595834669125,10000
533,-6.749600883871762,10000
534,-6.6751574914204665,-10000
535,-7.018910564929705,10000
536,-6.874325589770557,-10000
537,-6.941020254988741,-10000
538,-7.692050071848436,-10000
539,-7.5461404536449965,10000
540,-7.925201750888157,-10000
541,-6.022275771375324,-10000
542,-2.076769816013149,10000
543,-5.286435998313982,10000
544,-6.935518155524811,-10000
545,-8.100962041903081,10000
546,-8.010175485248013,10000
547,-7.64628844372993,10000
548,-4.769434052287507,10000
549,-6.439364177824658,-10000
550,-7.3313339447580725,10000
551,-4.6008164589707565,10000
552,-7.8104572658978615,10000
553,-7.794265392355163,10000
554,-7.527289073469111,10000
555,-7.064943072794124,-10000
