epoch,average_reward,final_reward
763,-12.173628351379882,-10000
764,-48.26419837233952,10000
765,-14.162143325083402,-10000
766,-1.598991368531669,-10000
767,-3.1549272661456293,-10000
768,1.5159591942504127,-10000
769,-17.57901037740183,-10000
770,3.6778443030851014,-10000
771,-10.202390975933206,-10000
772,-16.250482707062726,-10000
773,1.1889796864755864,0
774,-66.8609097610074,-10000
775,-36.43205855600718,-10000
776,-49.46312214629939,-10000
777,-23.599734374728726,0
778,-59.19241647225741,-10000
779,-24.145437644787823,10000
780,-50.412447771138474,-10000
781,-88.50490415367284,10000
782,-5.725033456268186,-10000
783,-50.904195401679885,-10000
784,-28.84975144106267,-10000
785,-13.176488591204256,-10000
786,-64.84396241538366,-10000
787,2.8960118359814193,-10000
788,-42.71324110975445,-10000
789,-9.635645652574818,-10000
790,-1.5109928187709347,-10000
791,-41.64743136725483,-10000
792,-14.859896388927318,-10000
793,-13.620586216935349,-10000
794,-64.44734580338475,-10000
795,-17.701819847510194,-10000
796,-7.175633171014424,0
797,-6.249803121583477,0
798,-8.215761991909616,-10000
799,-64.65001387896184,-10000
800,-10.907208984213083,-10000
801,-63.734974598496436,-10000
802,-74.24235660503061,-10000
803,-96.59326971541776,-10000
804,-81.94601394166177,-10000
805,-53.130153404276854,-10000
806,-28.18812106778555,-10000
807,-51.67163742254796,-10000
808,-33.489981326090884,-10000
809,-25.30289360117254,-10000
810,-32.387420805798,-10000
811,-48.95995792911223,-10000
812,-10.126236591227071,-10000
813,-93.464574908419,10000
814,-26.954049981100297,10000
815,-0.6017027124106297,0
816,-19.87706589238519,0
817,-67.80703419717426,-10000
818,-57.36468188457936,-10000
819,-79.69983835061475,-10000
820,-14.840990680614167,-10000
821,-55.11334325577182,-10000
822,-2.100444917803253,-10000
823,4.59148923102724,-10000
824,-51.802794319785775,-10000
825,-30.036982437004063,-10000
826,-3.9302506755954916,0
827,-27.956301514655195,-10000
828,-15.926685565117882,-10000
829,-25.11657735184444,-10000
830,-29.251393649394846,-10000
831,-19.626742154952673,-10000
832,-4.537000976560235,-10000
833,-91.36200081496082,10000
834,-47.10410235721028,-10000
835,-8.919253636621693,-10000
836,-53.66202966669204,-10000
837,-17.774067774537315,-10000
